store_name,storetype,x,y,identnum,newident,surveyed,apples,bananas,grapes,melon,oranges_loose,carrots,celery,green_pepper,lettuce,onion,tomatos,potatoes,oranges_man,peaces,mushrooms,spaghe_sauce,tomato_sauce,orange_juice,broccoli,green_bean,green_peas,french_fries,bread_white,bread_whole,hambu_buns,dinner_rolls,italian_bread,bagels,bread_crumbs,cereal_corn,cereal_oats,flour,macaroni,noodles,popcorn,rice,spaghetti,milk_lowfat,milk_whole,cheese_cheddar,cheese_cottage,cheese_moz,milk_evapo,beef,chicken_whole,chicken_thighs,turkey_ground,pork,turkey_ham,eggs,fish_flounder,tuna_fish,beans_garb,beans_kidne,beans_baked,margarine,shortening,salad_dressing,veg_oil,sugar_brown,sugar_powdered,sugar_white,jelly_grape,molasses,pancake_syrup,chocolate_chops,fruit_drink,fudgesicles,baking_pow,baking_soda,chile_powder,cinnamon,cumin,onion_powder,garlic_powder,italian_seas,oregano,paprika,black_epper,salt,vanilla,childen_boul,catsup,soy_sauce,lemon_juice,gelatin,choc_drink
CJ's Food & Market LTD,Convenience Store,-89.33308657800,30.30825401600,0,STORE-0,1,10.80,0.00,0.00,0.00,6.89,3.24,1.03,1.66,0.47,0.71,9.98,4.73,2.29,2.02,7.12,0.91,0.00,0.00,0.00,12.95,10.29,0.31,1.87,1.71,4.98,4.15,3.72,8.30,1.92,1.21,2.19,0.89,1.79,0.00,0.00,2.49,2.57,27.45,1.72,0.00,0.00,0.96,0.36,8.94,1.74,1.02,0.00,0.00,3.84,0.84,0.00,3.26,0.93,0.85,0.00,0.00,0.00,1.10,0.39,0.07,0.07,0.04,0.14,0.00,0.16,0.21,9.38,0.00,0.29,0.09,0.00,0.57,0.57,0.70,0.63,1.54,1.35,0.50,0.54,0.04,2.23,1.51,0.12,0.28,0.27,0.00,0.00
Lee's Supermarket,Grocery Store,-88.89327383000,30.40315849300,1,STORE-1,1,6.22,3.33,0.00,19.26,17.35,2.95,0.64,3.63,1.29,1.29,2.95,0.00,0.00,1.53,6.88,1.48,0.12,0.00,0.00,0.00,0.00,0.00,1.24,1.56,4.51,2.69,0.00,0.00,0.00,0.00,0.00,0.51,0.61,0.61,0.00,0.54,1.32,24.45,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.23,0.00,2.51,0.00,0.96,0.00,0.00,0.00,0.69,0.38,0.07,0.05,0.04,0.00,0.00,0.22,0.00,5.23,0.00,0.21,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.07,0.28,0.00,0.00,4.04
Winn-Dixie,Grocery Store,-89.09956100000,30.44504600000,10,STORE-10,1,7.66,3.33,0.00,6.41,6.01,1.32,1.29,1.68,1.62,0.65,2.95,4.30,1.85,1.23,9.52,1.28,0.00,3.22,1.42,6.29,6.29,0.23,0.74,1.18,1.34,1.46,1.79,2.28,1.73,1.32,1.66,0.42,0.78,1.76,2.54,0.65,0.78,22.45,1.41,0.80,0.40,0.88,0.00,8.94,5.59,2.05,1.34,0.00,1.92,1.82,0.00,3.79,0.74,0.48,1.40,0.40,0.41,0.64,0.34,0.07,0.13,0.04,0.10,0.00,0.12,0.21,1.47,2.71,0.00,0.00,1.25,1.03,1.79,1.42,1.33,4.47,5.89,1.70,0.56,0.02,3.08,0.82,0.08,0.20,0.09,0.31,3.29
Save-A-Lot,Grocery Store,-89.07011400000,30.38622600000,100,STORE-100,0,9.37458802636,3.48934618219,10.3185592506,3.07416600726,6.24489342193,3.30255187684,1.37608963087,3.10803616477,1.22708727582,1.19229739182,7.36819102427,0,1.76731774028,1.74053122441,5.92820170195,1.1375955587,0.0736051666982,0,1.41482404024,4.23842181157,10.469173206,0.10619672306,1.15416713042,0,1.95397582779,1.39625706298,1.42117273228,2.96641099159,0,2.55269523461,0,0.487234883627,0.785015454929,2.62327012966,0,0.516507389201,1.41005045546,21.6683940726,1.20954339286,1.11102523931,0.334768478021,0.709176577785,0.164701359925,5.17922593119,2.2071261562,2.73578852524,1.47409518362,0,1.98746339922,2.27463282619,0,0,0,1.80733787706,1.69286374716,0.243950482125,0.341007014,1.62007080353,0.400674475747,0.0884941298721,0.151095782015,0.0410762209412,0.365479987624,0.221154396651,1.03194691622,0.189624920211,8.09164904821,1.68799383577,0.223400084613,0.143299077618,1.28412720287,1.49031995498,1.40112408264,0.558389217152,0.430751721427,5.37806031003,2.33121673746,1.39064068107,0.271870446818,0.0519025439732,2.60776074385,0.502817375262,0,0.469123499926,0.0742768419317,0.232467118839,1.85382753509
Jones Curb Market,Grocery Store,-89.07011400000,30.38622600000,101,STORE-101,0,7.1074298494,3.41527312,14.6912839027,2.49744230288,17.5704732885,1.6839847453,0,1.04046402384,1.55106341417,0.527033145354,2.82072207622,2.40066673379,2.31246163208,1.85826839433,8.96455365919,0.740149445568,0,3.0850844096,0.7504066237,7.25845073359,8.86300568726,0.463031768448,0.751044254832,0.82591124698,1.45147347286,0,2.42379165906,3.00058826502,1.91685842635,3.21847393032,1.1339909058,0.245307466814,1.07629368881,0.618377001844,2.48815144878,0.650899076915,1.56573290353,15.4344407832,1.44813694515,0.723159614078,0,0.63839605286,0.172400557967,0,3.75574633172,3.06854769692,1.83420738677,0,0,2.38360159639,4.28308082183,2.05829771787,0,1.497455541,1.03821651425,0,0.29933748244,1.94671632586,0.690341905658,0.13577726558,0.116973508145,0.0287455288076,0,0,0.21379604921,0.168610498669,4.82827502648,2.07411509175,0,0.0435267873313,0.637596345347,0.581439569533,1.58445496415,0,0,2.54344390242,0,4.93869408346,0.967000803242,0.0420802736572,0.567851800594,0,0.151011937271,0.242418940702,0,0.331794899588,4.19902194279
Rouses Supermarket,Grocery Store,-89.07011400000,30.38622600000,102,STORE-102,0,4.77068617723,2.65213757827,17.0297952417,8.34776487436,19.5842321602,3.73861280774,0.928900263463,1.58972303122,0,1.00357110538,0,1.94423794004,2.04324658041,1.9602476396,6.43169799813,1.10035919524,0,2.7927354198,0,5.87529462262,10.1872744359,0,0,1.19941913547,4.04157309997,1.14833271567,0,4.31997843663,1.63752942739,0.856258414052,1.2654299504,0.229352645238,0,2.22692185588,0,0.699935109352,2.0449096759,17.4766805001,0.923302874155,0.748591141232,0,0,0,8.92175003269,5.15222220572,2.70023672056,2.40425276045,5.07879668316,2.46708489838,3.3551889907,5.25251152584,4.37490029759,0,1.49187987006,0.945212316988,0,0,0.837714514495,0.410626927894,0.101980544531,0.287652395453,0.0206704998885,0.10127189265,0,0.344350677511,0.191419259714,7.18881642971,0,0.188762357635,0.128685786727,1.11686769858,1.19232034024,2.68349765802,0.383436176269,0.744557134461,0,6.15574759856,3.96383003648,2.36742035571,0.0326454850875,3.0577763038,0.209396734304,0.14057409795,0.319753297107,0.0469329818762,0.28370596598,2.95273134146
Eagle Mart,Convenience Store,-89.03106192900,30.42813711100,103,STORE-103,0,7.45695096063,0,0,0,0,0,0,0,0,0,0,0,1.44532742747,3.60692226802,0,2.66789545847,0,0,0,0,0,0,1.13021793717,0,3.67054402967,1.21779642309,0,0,2.00591247923,4.93879476458,3.04729377706,0.883679150181,2.02835573932,0,0,1.40255208633,1.59699510951,19.4553766591,0,1.24285422068,0,0,0.499877535583,0,0,0,0,0,4.42572433534,1.63904004373,0,7.04425669902,0,0.912938658485,0,0.689936998724,0,0.287149502749,0.602858837394,0,0,0,0.176132032375,0,0,0,0,0,0,0.14548313883,0,0,0,0.415149735391,1.39790713749,2.0055946671,5.8460398005,0,0.553197844479,0.481308517038,0,1.42866710895,0.143240825321,0,0.31179176318,0,0
Supermercado La Veracruzana,Grocery Store,-89.07011400000,30.38622600000,104,STORE-104,0,9.39340792801,2.84212237527,0,9.44091463007,16.0693609258,3.9007813102,1.09853341175,2.12484687114,0.943617380156,0.47019535256,3.66844907533,4.84453459368,1.63026419067,1.09471706258,8.30789533125,1.09937429888,0,2.25928925163,1.32858540731,0,6.43055479386,0.392032260831,0.867493135178,2.13393514305,1.99103947154,2.48024440469,6.74638218147,1.68609657305,0,3.37662607416,0,0.327277154588,0.614104313577,2.26356226443,0,0.845803627501,1.55281903702,23.377884449,1.49374274857,1.20181918183,0.383407008789,0.771074828112,0,8.32740583523,5.46770327133,2.8287087233,1.57287070084,0,1.89121561813,1.68497490939,5.03550930912,1.96573564071,0,1.16626273622,1.89835543387,0.387943824243,0.435718434586,0.341233690411,0.636432385967,0.119979801001,0.298481671817,0.0465419659183,0.350109748584,0,0.378348799791,0.115069315722,1.49263850679,2.29862409304,0.172552733074,0.151460461447,1.74868050307,0.522435565253,2.67950942452,0.949343563691,0.710235294954,3.41647015539,1.6138682998,1.86306327185,0.104468447104,0.0328122938927,0,0,0.0410679381174,0.206081930184,0.07790109674,0,1.60886325861
El Jaripeo,Grocery Store,-89.08153432700,30.44946498700,105,STORE-105,0,4.42609243151,3.05190479021,15.4902389593,16.3356025907,19.8293101277,3.71016303576,1.29835221789,2.50642521748,1.288869812,1.28066842402,0,2.75814076275,2.07710866692,1.8111388558,7.89195426574,1.17674029686,0.13663041033,0,0.97267264303,7.85348656488,11.5128842704,0,0.882715410536,0,0,0.835387754165,2.51476903459,4.0093089265,1.30897732983,3.70949028306,0,0.415497703525,0.958672057028,2.24870846569,0,0.713379112872,1.46625561304,20.3110475902,1.16199346149,0.722277486239,0.314694854647,0.607795203652,0.165799994773,9.8839512578,3.03783195832,2.81625552782,2.38729102658,5.80987658314,1.56296408683,1.6135030729,5.72557679907,5.02242737709,0,1.06625920947,0,0.249487799942,0.455729133355,0.363098794976,0.629472583871,0.0964424088114,0.327545429784,0.0218634645223,0.158319061982,0.234594627809,0.766554309501,0,1.93776548352,2.1838431338,0.186026159542,0,0.355140065449,0.901390064534,1.90874480378,0.430354273763,0.777324482214,2.2422557298,5.50269308314,2.92342496432,1.8829439466,0.0458924774805,2.80767356787,0.736641111412,0,0,0,0,3.41229426004
Eunic Seydi's Tienda Latina,Grocery Store,-89.08661104300,30.45044598700,106,STORE-106,0,9.55654149686,0,11.482934203,2.78532935282,9.5206573766,4.1791541859,0,0.833471840139,1.48819429832,0.381715478914,7.48016891068,4.15910097263,1.80197057799,1.31670873766,7.47982234333,0.766012768554,0,3.32945014599,0,10.1942458966,0,0.390117643357,1.15237643353,2.31868980567,2.23066289423,1.18742877881,0,3.37081301793,1.00924909854,0.975219271216,1.57094391296,0.326179042293,0.894328707947,2.31589987464,5.60873459783,0.821076629055,0,14.7400773987,1.28633106459,0.881219867858,0,0.596817360466,0.167247411369,8.76892263398,1.24164742933,1.66771889895,1.72832581379,0,1.68745824505,1.74977684466,4.87858248662,3.18442385055,0,1.93135489063,0,0.229715511659,0,1.93349797454,0.235836650112,0.159123083063,0.261247840023,0.0259338304756,0.221945726107,0.24861674452,0.88327299356,0.199681148675,8.27906666715,1.52582571038,0.10577587861,0.0413087770528,1.12570985452,0.319092877229,1.6724277291,0.277167486441,0,2.22776077135,6.32530948753,4.99522891597,0.674572991784,0.0153066117668,2.68335352657,0,0,0.144800867468,0,0.342740332073,3.79900749914
